Program Version:,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ6A+hp+slab+IECC_2021
Environment:,ANNUAL ** Rochester International Arpt MN USA TMY3 WMO#=726440

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,107437.80,45.20,90.39
,Net Site Energy,107437.80,45.20,90.39
,Total Source Energy,340255.51,143.14,286.28
,Net Source Energy,340255.51,143.14,286.28


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,2377.10
,Net Conditioned Building Area,1188.55
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,107437.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
Outdoor Air Controller Limiting Factors by AirLoop

,,No Limiting Factor [hr],Limits and Scheduled Limits [hr],Economizer [hr],Exhaust Flow [hr],Mixed Air Flow [hr],High Humidity [hr],Demand Controlled Ventilation [hr],Night Ventilation [hr],Demand Limiting [hr],Energy Management System [hr]
,CENTRAL SYSTEM_UNIT1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Average Outdoor Air for Limiting Factors During Occupancy

,,No Limiting Factor [ft3/min],Limits and Scheduled Limits [ft3/min],Economizer [ft3/min],Exhaust Flow [ft3/min],Mixed Air Flow [ft3/min],High Humidity [ft3/min],Demand Controlled Ventilation [ft3/min],Night Ventilation [ft3/min],Demand Limiting [ft3/min],Energy Management System [ft3/min]
,CENTRAL SYSTEM_UNIT1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Object Count Summary
FOR:,Entire Facility
Surfaces by Class

,,Total,Outdoors
,Wall,10,10
,Floor,2,0
,Roof,3,2
,Internal Mass,1,0
,Building Detached Shading,0,0
,Fixed Detached Shading,0,0
,Window,8,8
,Door,1,1
,Glass Door,0,0
,Shading,4,4
,Overhang,2,2
,Fin,0,0
,Tubular Daylighting Device Dome,0,0
,Tubular Daylighting Device Diffuser,0,0


HVAC

,,Count
,HVAC Air Loops,1
,Conditioned Zones,1
,Unconditioned Zones,1
,Supply Plenums,0
,Return Plenums,0


Input Fields

,,Count
,IDF Objects,437
,Defaulted Fields,345
,Fields with Defaults,1743
,Autosized Fields,23
,Autosizable Fields,39
,Autocalculated Fields,20
,Autocalculatable Fields,40


----------------------------------------------------------------------------------------------------
REPORT:,Energy Meters
FOR:,Entire Facility
Annual and Peak Values - Electricity

,,Electricity Annual Value [kWh],Electricity Minimum Value [W],Timestamp of Minimum {TIMESTAMP},Electricity Maximum Value [W],Timestamp of Maximum {TIMESTAMP}
,Electricity:Facility,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,Electricity:Building,7270.43,494.15,02-JAN-03:10,1323.60,01-JAN-18:10
,Electricity:Zone:LIVING_UNIT1,7270.43,494.15,02-JAN-03:10,1323.60,01-JAN-18:10
,Electricity:SpaceType:GENERAL,7270.43,494.15,02-JAN-03:10,1323.60,01-JAN-18:10
,InteriorLights:Electricity,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,InteriorLights:Electricity:Zone:LIVING_UNIT1,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,InteriorLights:Electricity:SpaceType:GENERAL,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,General:InteriorLights:Electricity,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,General:InteriorLights:Electricity:Zone:LIVING_UNIT1,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,General:InteriorLights:Electricity:SpaceType:GENERAL,518.81,11.62,01-JAN-00:10,169.00,01-JAN-19:10
,InteriorEquipment:Electricity,6751.61,477.31,02-JAN-04:10,1171.11,01-JAN-18:10
,InteriorEquipment:Electricity:Zone:LIVING_UNIT1,6751.61,477.31,02-JAN-04:10,1171.11,01-JAN-18:10
,InteriorEquipment:Electricity:SpaceType:GENERAL,6751.61,477.31,02-JAN-04:10,1171.11,01-JAN-18:10
,dishwasher:InteriorEquipment:Electricity,184.69,1.69,02-JAN-03:10,58.93,01-JAN-19:10
,dishwasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,184.69,1.69,02-JAN-03:10,58.93,01-JAN-19:10
,dishwasher:InteriorEquipment:Electricity:SpaceType:GENERAL,184.69,1.69,02-JAN-03:10,58.93,01-JAN-19:10
,refrigerator:InteriorEquipment:Electricity,668.67,66.60,01-JAN-04:10,91.06,01-JAN-18:10
,refrigerator:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,668.67,66.60,01-JAN-04:10,91.06,01-JAN-18:10
,refrigerator:InteriorEquipment:Electricity:SpaceType:GENERAL,668.67,66.60,01-JAN-04:10,91.06,01-JAN-18:10
,clotheswasher:InteriorEquipment:Electricity,94.32,0.91,02-JAN-02:10,25.55,01-JAN-09:10
,clotheswasher:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,94.32,0.91,02-JAN-02:10,25.55,01-JAN-09:10
,clotheswasher:InteriorEquipment:Electricity:SpaceType:GENERAL,94.32,0.91,02-JAN-02:10,25.55,01-JAN-09:10
,electric_dryer:InteriorEquipment:Electricity,833.27,4.25,02-JAN-03:10,213.06,01-JAN-11:10
,electric_dryer:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,833.27,4.25,02-JAN-03:10,213.06,01-JAN-11:10
,electric_dryer:InteriorEquipment:Electricity:SpaceType:GENERAL,833.27,4.25,02-JAN-03:10,213.06,01-JAN-11:10
,electric_range:InteriorEquipment:Electricity,604.09,5.84,01-JAN-02:10,248.15,01-JAN-17:10
,electric_range:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,604.09,5.84,01-JAN-02:10,248.15,01-JAN-17:10
,electric_range:InteriorEquipment:Electricity:SpaceType:GENERAL,604.09,5.84,01-JAN-02:10,248.15,01-JAN-17:10
,television:InteriorEquipment:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,television:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,television:InteriorEquipment:Electricity:SpaceType:GENERAL,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,electric_mels:InteriorEquipment:Electricity,3358.05,293.39,01-JAN-09:10,567.46,01-JAN-20:10
,electric_mels:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,3358.05,293.39,01-JAN-09:10,567.46,01-JAN-20:10
,electric_mels:InteriorEquipment:Electricity:SpaceType:GENERAL,3358.05,293.39,01-JAN-09:10,567.46,01-JAN-20:10
,IECC_adj:InteriorEquipment:Electricity,1008.51,88.11,01-JAN-09:10,170.42,01-JAN-20:10
,IECC_adj:InteriorEquipment:Electricity:Zone:LIVING_UNIT1,1008.51,88.11,01-JAN-09:10,170.42,01-JAN-20:10
,IECC_adj:InteriorEquipment:Electricity:SpaceType:GENERAL,1008.51,88.11,01-JAN-09:10,170.42,01-JAN-20:10
,Electricity:HVAC,22658.00,21.43,13-MAY-12:30,11449.37,28-JAN-10:00
,Cooling:Electricity,1164.11,0.00,01-JAN-00:10,1520.60,04-AUG-16:00
,General:Cooling:Electricity,1164.11,0.00,01-JAN-00:10,1520.60,04-AUG-16:00
,Heating:Electricity,20027.24,0.00,18-MAR-13:00,11166.08,28-JAN-10:00
,General:Heating:Electricity,20027.24,0.00,18-MAR-13:00,11166.08,28-JAN-10:00
,Electricity:Plant,1326.10,8.30,12-APR-14:40,531.62,03-AUG-06:20
,WaterSystems:Electricity,1326.10,8.30,12-APR-14:40,531.62,03-AUG-06:20
,Fans:Electricity,1466.66,21.43,12-APR-12:10,283.29,01-JAN-06:30
,General:Fans:Electricity,1278.94,0.00,12-JAN-15:10,261.86,01-JAN-06:30
,Ventilation:Fans:Electricity,187.71,21.43,12-APR-11:20,21.43,01-JAN-00:10
,Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Ventilation (simple):Fans:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ElectricityPurchased:Facility,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,ElectricityPurchased:Plant,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,Cogeneration:ElectricityPurchased,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,General:Cogeneration:ElectricityPurchased,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,ElectricitySurplusSold:Facility,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ElectricitySurplusSold:Plant,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Cogeneration:ElectricitySurplusSold,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ElectricityNet:Facility,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,ElectricityNet:Plant,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,Cogeneration:ElectricityNet,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,General:Cogeneration:ElectricityNet,31465.93,567.61,17-APR-03:10,12696.59,28-JAN-10:10
,HeatRecovery:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:HeatRecovery:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,ExteriorLights:Electricity,211.39,0.92,01-JAN-09:10,50.41,01-JAN-19:10
,Exterior-Lights:ExteriorLights:Electricity,189.40,0.00,01-JAN-06:10,43.24,01-JAN-00:10
,Garage-Lights:ExteriorLights:Electricity,21.99,0.49,01-JAN-00:10,7.16,01-JAN-19:10
,Water Heater:WaterSystems:Electricity,72.71,8.30,12-APR-14:40,8.30,03-JAN-09:20
,Water Heater Parasitic:WaterSystems:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Pumps:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Pumps:Electricity,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10


Annual and Peak Values - Natural Gas

,,Natural Gas Annual Value [therm],Natural Gas Minimum Value [Btu/h],Timestamp of Minimum {TIMESTAMP},Natural Gas Maximum Value [Btu/h],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Cooling

,,Cooling Annual Value [ton-hrs],Cooling Minimum Value [ton],Timestamp of Minimum {TIMESTAMP},Cooling Maximum Value [ton],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Water

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,Water:Facility,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,Water:Plant,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,WaterSystems:Water,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,Domestic Hot Water:WaterSystems:Water,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,MainsWater:Facility,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,MainsWater:Plant,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,WaterSystems:MainsWater,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,Domestic Hot Water:WaterSystems:MainsWater,3143.58,0.00,18-JAN-02:30,0.01,01-JAN-08:10
,Water Heater:WaterSystems:Water,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Water Heater:WaterSystems:MainsWater,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10


Annual and Peak Values - Other by Weight/Mass

,,Annual Value [lb],Minimum Value [lb/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [lb/s],Timestamp of Maximum {TIMESTAMP}
,Carbon Equivalent:Facility,0.00,0.000,01-JAN-00:10,0.000,01-JAN-00:10
,CarbonEquivalentEmissions:Carbon Equivalent,0.00,0.000,01-JAN-00:10,0.000,01-JAN-00:10


Annual and Peak Values - Other Volumetric

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other Liquid/Gas

,,Annual Value [gal],Minimum Value [gal],Timestamp of Minimum {TIMESTAMP},Maximum Value [gal],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other

,,Annual Value [kBtu],Minimum Value [Btu/h],Timestamp of Minimum {TIMESTAMP},Maximum Value [Btu/h],Timestamp of Maximum {TIMESTAMP}
,EnergyTransfer:Facility,194327.10,494.33,10-JUN-04:00,69487.07,28-JAN-10:00
,EnergyTransfer:HVAC,117883.63,0.00,12-JAN-15:10,42302.45,28-JAN-10:10
,CoolingCoils:EnergyTransfer,26172.18,0.00,01-JAN-00:10,25970.76,03-JUL-18:00
,HeatingCoils:EnergyTransfer,91711.45,0.00,12-JAN-15:10,40232.57,28-JAN-10:10
,EnergyTransfer:Building,64852.30,0.02,27-MAR-14:30,26255.82,04-FEB-23:50
,EnergyTransfer:Zone:LIVING_UNIT1,64852.30,0.02,27-MAR-14:30,26255.82,04-FEB-23:50
,Heating:EnergyTransfer,48562.04,0.00,12-JAN-15:10,26255.82,04-FEB-23:50
,Heating:EnergyTransfer:Zone:LIVING_UNIT1,48562.04,0.00,12-JAN-15:10,26255.82,04-FEB-23:50
,General:Heating:EnergyTransfer,48562.04,0.00,12-JAN-15:10,26255.82,04-FEB-23:50
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1,48562.04,0.00,12-JAN-15:10,26255.82,04-FEB-23:50
,Cooling:EnergyTransfer,16290.26,0.00,01-JAN-00:10,16287.10,07-SEP-15:50
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1,16290.26,0.00,01-JAN-00:10,16287.10,07-SEP-15:50
,General:Cooling:EnergyTransfer,16290.26,0.00,01-JAN-00:10,16287.10,07-SEP-15:50
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1,16290.26,0.00,01-JAN-00:10,16287.10,07-SEP-15:50
,EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Heating:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Heating:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,Cooling:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,General:Cooling:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,PlantLoopHeatingDemand:Facility,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,PlantLoopHeatingDemand:Plant,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,WaterSystems:PlantLoopHeatingDemand,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,General:WaterSystems:PlantLoopHeatingDemand,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,HeatRecoveryForHeating:EnergyTransfer,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,HeatRecoveryForCooling:EnergyTransfer,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10
,EnergyTransfer:Plant,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,WaterSystems:EnergyTransfer,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,Domestic Hot Water:WaterSystems:EnergyTransfer,11591.17,99.35,21-AUG-03:00,3034.01,26-FEB-08:50
,Water Heater:WaterSystems:PlantLoopHeatingDemand,0.00,0.00,01-JAN-00:10,0.00,01-JAN-00:10


----------------------------------------------------------------------------------------------------
REPORT:,Sensible Heat Gain Summary
FOR:,Entire Facility
Annual Building Sensible Heat Gain Components

,,HVAC Zone Eq & Other Sensible Air Heating [kBtu],HVAC Zone Eq & Other Sensible Air Cooling [ton-hrs],HVAC Terminal Unit Sensible Air Heating [kBtu],HVAC Terminal Unit Sensible Air Cooling [ton-hrs],HVAC Input Heated Surface Heating [kBtu],HVAC Input Cooled Surface Cooling [ton-hrs],People Sensible Heat Addition [kBtu],Lights Sensible Heat Addition [kBtu],Equipment Sensible Heat Addition [kBtu],Window Heat Addition [kBtu],Interzone Air Transfer Heat Addition [kBtu],Infiltration Heat Addition [kBtu],Opaque Surface Conduction and Other Heat Addition [kBtu],Equipment Sensible Heat Removal [kBtu],Window Heat Removal [kBtu],Interzone Air Transfer Heat Removal [kBtu],Infiltration Heat Removal [kBtu],Opaque Surface Conduction and Other Heat Removal [kBtu]
,LIVING_UNIT1,182.827,-1925.83,67251.953,-1007.64,0.000,0.000,4705.474,1771.449,14446.351,18153.948,6.067,235.138,0.000,0.000,-16621.62,-0.01,-28007.91,-26898.58
,ATTIC_UNIT1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16755.945,665.073,48407.870,0.000,0.000,-220.79,-65608.10,0.000
,Total Facility,182.827,-1925.83,67251.953,-1007.64,0.000,0.000,4705.474,1771.449,14446.351,18153.948,16762.012,900.211,48407.870,0.000,-16621.62,-220.80,-93616.01,-26898.58


Peak Cooling Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [Btu/h],HVAC Zone Eq & Other Sensible Air Cooling [ton],HVAC Terminal Unit Sensible Air Heating [Btu/h],HVAC Terminal Unit Sensible Air Cooling [ton],HVAC Input Heated Surface Heating [Btu/h],HVAC Input Cooled Surface Cooling [ton],People Sensible Heat Addition [Btu/h],Lights Sensible Heat Addition [Btu/h],Equipment Sensible Heat Addition [Btu/h],Window Heat Addition [Btu/h],Interzone Air Transfer Heat Addition [Btu/h],Infiltration Heat Addition [Btu/h],Opaque Surface Conduction and Other Heat Addition [Btu/h],Equipment Sensible Heat Removal [Btu/h],Window Heat Removal [Btu/h],Interzone Air Transfer Heat Removal [Btu/h],Infiltration Heat Removal [Btu/h],Opaque Surface Conduction and Other Heat Removal [Btu/h]
,LIVING_UNIT1,07-SEP-15:45,0.00,-0.2,0.00,-1.2,0.00,0.00,164.92,128.84,1562.07,10834.44,325.17,72.10,3702.65,0.00,0.00,0.00,0.00,0.00
,ATTIC_UNIT1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,07-SEP-15:45,0.00,-0.2,0.00,-1.2,0.00,0.00,164.92,128.84,1562.07,10834.44,325.17,72.10,8170.68,0.00,0.00,0.00,-4468.0,0.00


Peak Heating Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [Btu/h],HVAC Zone Eq & Other Sensible Air Cooling [ton],HVAC Terminal Unit Sensible Air Heating [Btu/h],HVAC Terminal Unit Sensible Air Cooling [ton],HVAC Input Heated Surface Heating [Btu/h],HVAC Input Cooled Surface Cooling [ton],People Sensible Heat Addition [Btu/h],Lights Sensible Heat Addition [Btu/h],Equipment Sensible Heat Addition [Btu/h],Window Heat Addition [Btu/h],Interzone Air Transfer Heat Addition [Btu/h],Infiltration Heat Addition [Btu/h],Opaque Surface Conduction and Other Heat Addition [Btu/h],Equipment Sensible Heat Removal [Btu/h],Window Heat Removal [Btu/h],Interzone Air Transfer Heat Removal [Btu/h],Infiltration Heat Removal [Btu/h],Opaque Surface Conduction and Other Heat Removal [Btu/h]
,LIVING_UNIT1,04-FEB-23:49,-3813.3,0.00,30069.48,0.00,0.00,0.00,984.43,99.11,1634.70,0.00,0.00,0.00,0.00,0.00,-5786.0,0.00,-13842.6,-9345.8
,ATTIC_UNIT1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,04-FEB-23:49,-3813.3,0.00,30069.48,0.00,0.00,0.00,984.43,99.11,1634.70,0.00,8246.79,0.00,1243.07,0.00,-5786.0,0.00,-32678.3,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Standard 62.1 Summary
FOR:,Entire Facility
System Ventilation Requirements for Cooling

,,Sum of Zone Primary Air Flow - Vpz-sum [ft3/min],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [ft3/min],System Primary Airflow - Vps [ft3/min],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow - Vot [ft3/min],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,CENTRAL SYSTEM_UNIT1,665.6286,0.0000,3.0000,1.0000,Calculated from schedules,0.0000,665.6286,0.0000,1.0000,Not calculated,0.0000,0.0000,,


System Ventilation Requirements for Heating

,,Sum of Zone Primary Air Flow - Vpz-sum [ft3/min],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [ft3/min],System Primary Airflow - Vps [ft3/min],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow Vot [ft3/min],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,CENTRAL SYSTEM_UNIT1,665.6286,0.0000,3.0000,1.0000,Calculated from schedules,0.0000,665.6286,0.0000,1.0000,Not calculated,0.0000,0.0000,,


Zone Ventilation Parameters

,,AirLoop Name,People Outdoor Air Rate - Rp [ft3/min-person],Zone Population - Pz,Area Outdoor Air Rate - Ra [ft3/min-ft2],Zone Floor Area - Az [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Air Distribution Effectiveness - Ez-clg,Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Air Distribution Effectiveness - Ez-htg,Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,0.000000,3.0000,0.000000,1188.55,0.0000,1.0000,0.0000,1.000,0.0000


System Ventilation Parameters

,,People Outdoor Air Rate - Rp [ft3/min-person],Sum of Zone Population - Pz-sum,Area Outdoor Air Rate - Ra [ft3/min-ft2],Sum of Zone Floor Area - Az-sum [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,CENTRAL SYSTEM_UNIT1,0.000000,3.00,0.000000,1188.5477,0.0000,0.0000,0.0000


Zone Ventilation Calculations for Cooling Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [ft3/min],Zone Discharge Airflow - Vdz [ft3/min],Minimum Zone Primary Airflow - Vpz-min [ft3/min],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,665.6286,665.6286,665.6286,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000


System Ventilation Calculations for Cooling Design

,,Sum of Zone Primary Airflow - Vpz-sum [ft3/min],System Primary Airflow - Vps [ft3/min],Sum of Zone Discharge Airflow - Vdz-sum [ft3/min],Sum of Min Zone Primary Airflow - Vpz-min [ft3/min],Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Zone Ventilation Efficiency - Evz-min
,CENTRAL SYSTEM_UNIT1,665.6286,665.6286,665.6286,665.6286,0.0000,1.0000


Zone Ventilation Calculations for Heating Design

